Author,Degree Centrality,Betweenness Centrality,Closeness Centrality,Pagerank,Hubs,Authorities
Fabio Crestani,0.013157894736842105,0.0,0.3838383838383838,0.004402854568304808,0.0056055684968410345,0.005605568496841036
Falk Scholer,0.06578947368421052,0.00921290600237969,0.4810126582278481,0.014537231464416673,0.02141856546992113,0.02141856546992113
Flora Salim,0.039473684210526314,0.0007804359383306754,0.40425531914893614,0.009178163685161497,0.01262378776876609,0.012623787768766088
Gianluca Demartini,0.3421052631578947,0.24434521910837703,0.6031746031746031,0.07368649495859557,0.050863297389064775,0.05086329738906479
Giorgio Brajnik,0.02631578947368421,0.001469228627123364,0.3877551020408163,0.007290689810971992,0.006302218405390239,0.0063022184053902405
Giuseppe Primiero,0.013157894736842105,0.0,0.3671497584541063,0.004359271188712472,0.004775122813955184,0.004775122813955187
Giuseppe Serra,0.013157894736842105,0.0,0.3671497584541063,0.004359271188712472,0.004775122813955184,0.004775122813955184
Hideo Joho,0.013157894736842105,0.0,0.3671497584541063,0.004470026934035515,0.004845314868972305,0.004845314868972302
J. Shane Culpepper,0.013157894736842105,0.0,0.37254901960784315,0.004317541437055856,0.00527398059000265,0.005273980590002652
Jan Wielemaker,0.013157894736842105,0.0,0.3671497584541063,0.004359271188712472,0.004775122813955184,0.004775122813955185
Joel Mackenzie,0.039473684210526314,0.0012456140350877193,0.38974358974358975,0.009310246323735711,0.00975667114105697,0.009756671141056961
Johanne R. Trippas,0.02631578947368421,0.0,0.41530054644808745,0.006924829554288375,0.010450883365813339,0.01045088336581334
Jonathon Hare,0.039473684210526314,0.003625730994152046,0.40860215053763443,0.009895797538274286,0.010282088215568351,0.01028208821556836
Jorge Carrillo-de-Albornoz,0.02631578947368421,0.0,0.36893203883495146,0.007312806362780311,0.005957776088639515,0.005957776088639511
Julio Gonzalo,0.039473684210526314,0.0025739348370927323,0.40641711229946526,0.009566335406330999,0.01128844919208843,0.011288449192088428
Karl Aberer,0.013157894736842105,0.0,0.3781094527363184,0.004356973267322122,0.0051203732825207,0.005120373282520697
Kevin Roitero,0.3026315789473684,0.1835914309861678,0.5891472868217055,0.06411612289390675,0.0523891576594984,0.05238915765949838
Laura Sbaffi,0.039473684210526314,0.0,0.4444444444444444,0.009248437742309597,0.015239668741495654,0.01523966874149565
Lawrence Cavedon,0.039473684210526314,0.0013837156995051727,0.38578680203045684,0.009646074868512256,0.00816401706646108,0.008164017066461079
Lei Han,0.02631578947368421,0.0,0.41304347826086957,0.006866959942897331,0.009992208794793693,0.00999220879479369
Luca Di Gaspero,0.013157894736842105,0.0,0.3838383838383838,0.004402854568304808,0.0056055684968410345,0.005605568496841031
Luca Vassena,0.013157894736842105,0.0,0.3838383838383838,0.004402854568304808,0.0056055684968410345,0.005605568496841035
Luis-Daniel Ibáñez,0.02631578947368421,0.0,0.41304347826086957,0.006866959942897331,0.009992208794793693,0.009992208794793692
Maarten de Rijke,0.039473684210526314,0.004535087719298245,0.4198895027624309,0.009978058285887367,0.01107862203415275,0.011078622034152746
Marco Basaldella,0.039473684210526314,0.00036255167834115193,0.41530054644808745,0.009210281701773545,0.012557831104657744,0.012557831104657743
Marco Pavan,0.013157894736842105,0.0,0.3838383838383838,0.004402854568304808,0.0056055684968410345,0.005605568496841036
Mark Sanderson,0.05263157894736842,0.0036979949874686702,0.4418604651162791,0.012047374633391832,0.016489334647632553,0.01648933464763255
Mattia Zeni,0.013157894736842105,0.0,0.36538461538461536,0.004458038623627158,0.004871835512272993,0.00487183551227299
Michael Soprano,0.2631578947368421,0.16215826473721212,0.5757575757575758,0.05673565202805717,0.04743374718101497,0.04743374718101494
Michele Catasta,0.039473684210526314,0.0,0.4444444444444444,0.009222995128235505,0.015501064593316918,0.01550106459331692
Mihai Horia Popescu,0.013157894736842105,0.0,0.37254901960784315,0.004317541437055856,0.00527398059000265,0.0052739805900026485
Mounia Lalmas,0.039473684210526314,0.0030641882483987744,0.4175824175824176,0.009660179299975898,0.01157619899539289,0.011576198995392892
Omar Alonso,0.039473684210526314,0.002974544948229158,0.4222222222222222,0.01001339234334844,0.01108013791287585,0.01108013791287585
Paolo Coppola,0.02631578947368421,0.0,0.4198895027624309,0.006912841243880016,0.010477404009114026,0.010477404009114028
Pavlos Vougiouklis,0.013157894736842105,0.0,0.36538461538461536,0.004458038623627158,0.004871835512272993,0.0048718355122729946
Peter A Bath,0.013157894736842105,0.0,0.3781094527363184,0.004356973267322122,0.0051203732825207,0.005120373282520701
Philippe Cudre-Mauroux,0.039473684210526314,0.0013508557719084035,0.38578680203045684,0.00941497907662517,0.008830237039317151,0.008830237039317148
Raquel Martinez,0.013157894736842105,0.0,0.3671497584541063,0.004470026934035515,0.004845314868972305,0.004845314868972302
Richard Gomer,0.013157894736842105,0.0,0.36538461538461536,0.004458038623627158,0.004871835512272993,0.004871835512272996
Rishabh Mehrotra,0.013157894736842105,0.0,0.37254901960784315,0.004317541437055856,0.00527398059000265,0.005273980590002652
Ryen W. White,0.039473684210526314,0.0015380116959064325,0.37254901960784315,0.009716786719889256,0.007593879976646545,0.007593879976646539
Shaoyang Fan,0.02631578947368421,0.0,0.38974358974358975,0.006728760677716381,0.010049103403957834,0.010049103403957838
Shazia Sadiq,0.02631578947368421,0.0,0.4175824175824176,0.006811775887574981,0.010725941779361734,0.01072594177936173
Stefano Mizzaro,0.381578947368421,0.27984958803379845,0.6178861788617886,0.08375970588719615,0.05568299062548783,0.055682990625487816
Tereza Iofciu,0.02631578947368421,0.0011814384445963393,0.38190954773869346,0.007184284581506943,0.006235650568554786,0.006235650568554786
Tetsuya Sakai,0.02631578947368421,0.0,0.40860215053763443,0.006814073808965332,0.01038069131079622,0.010380691310796218
Tim Draws,0.02631578947368421,0.0,0.37073170731707317,0.00661871318411909,0.008341390852000639,0.008341390852000643
Ujwal Gadiraju,0.02631578947368421,0.0,0.41304347826086957,0.006866959942897331,0.009992208794793693,0.009992208794793692
Vincenzo Della Mea,0.07894736842105263,0.00292593858383332,0.5,0.01647496695493463,0.028938090320089628,0.028938090320089618
Víctor Fresno,0.02631578947368421,0.002581327055011265,0.4222222222222222,0.006980013609610725,0.009717150381245297,0.009717150381245295
W. Bruce Croft,0.013157894736842105,0.0,0.3671497584541063,0.004470026934035515,0.004845314868972305,0.004845314868972303
Wolfgang Nejdl,0.02631578947368421,0.0,0.4175824175824176,0.006811775887574981,0.010725941779361734,0.010725941779361732
Yongli Ren,0.013157894736842105,0.0,0.3671497584541063,0.004470026934035515,0.004845314868972305,0.004845314868972306
Yunke Qu,0.02631578947368421,0.0008538011695906433,0.37623762376237624,0.007121525806712654,0.006309071362525709,0.006309071362525711
